S Parameter
$len [mm]
Y Axis
__cartesian__ 0 0 0.000000 -16.546313 3.000000 -9.391623
__settings__ 1 0 0 0 11 11 0 0 0 0
0 -13.452
0.2 -14.2532
0.4 -15.0785
0.6 -15.5157
0.8 -15.9346
1 -16.1792
1.2 -16.3984
1.4 -16.5179
1.6 -16.5463
1.8 -16.5066
2 -16.3542
2.2 -16.1324
2.4 -16.1316
2.6 -15.3953
2.8 -14.7211
3 -14.2248
dB(S(Port1,Port2)) [] - $widht='0mm' Freq='32GHz'
__settings__ -1 8 2 0 1 1
0 -9.39162
0.2 -10.3283
0.4 -10.7917
0.6 -11.316
0.8 -11.8798
1 -12.1258
1.2 -12.3797
1.4 -12.5547
1.6 -12.652
1.8 -12.5838
2 -12.4585
2.2 -12.3765
2.4 -12.1224
2.6 -11.8038
2.8 -11.2271
3 -10.8603
dB(S(Port1,Port2)) [] - $widht='0.03mm' Freq='32GHz'
__settings__ -1 9 2 0 1 1
