S Parameter
$len [mm]
Y Axis
__cartesian__ 0 0 0.000000 -17.960150 3.000000 -2.684788
__settings__ 1 0 0 0 11 11 0 0 0 0
0 -16.9825
0.2 -17.5584
0.4 -17.8348
0.6 -17.9601
0.8 -17.873
1 -17.6121
1.2 -17.1661
1.4 -16.5506
1.6 -15.7127
1.8 -14.5488
2 -13.1078
2.2 -11.2136
2.4 -7.77798
2.6 -5.72621
2.8 -2.68479
3 -3.72824
dB(S(Port1,Port2)) [] - $widht='0mm' Freq='40GHz'
__settings__ -1 8 2 0 1 1
0 -12.9917
0.2 -13.529
0.4 -13.7846
0.6 -13.9296
0.8 -13.9397
1 -13.7176
1.2 -13.3569
1.4 -12.7764
1.6 -12.0477
1.8 -11.1599
2 -9.90351
2.2 -8.39348
2.4 -6.4439
2.6 -4.44712
2.8 -2.702
3 -2.68896
dB(S(Port1,Port2)) [] - $widht='0.03mm' Freq='40GHz'
__settings__ -1 9 2 0 1 1
